Model,MDO3054
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,ANALOG
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,8e-07,,,,,Horizontal Scale,8e-07
Horizontal Delay,2.912e-06,,,,,Horizontal Delay,2.912e-06
Sample Interval,8e-10,,,,,Sample Interval,8e-10
Record Length,10000,,,,,Record Length,10000
Gating,0.0% to 100.0%,,,,,Gating,0.0% to 100.0%
Probe Attenuation,500,50,10,100,,Probe Attenuation,1
Vertical Units,V,V,A,A,,Vertical Units,Ws
Vertical Offset,0,0,0,0,,Vertical Offset,0
Vertical Scale,250,25,20,20,,Vertical Scale,0.0005
Vertical Position,1.98,1,-2,-3.92,,Vertical Position,-2.01364
,,,,,,,
,,,,,,,
,,,,,,,
Label,Vds,Vge,Isw,Il,,Label,Esw
TIME,CH1,CH2,CH3,CH4,,TIME,"MATH<INTG(CH1*CH3)>"
-1.0880e-06,245,-9,0,0,,-1.0880e-06,2.2325e-08
-1.0872e-06,275,-10,0,0,,-1.0872e-06,2.2325e-08
-1.0864e-06,255,-9,0,0,,-1.0864e-06,2.2325e-08
-1.0856e-06,255,-8,0.8,0,,-1.0856e-06,1.78575e-07
-1.0848e-06,255,-9,0.8,0,,-1.0848e-06,3.34825e-07
-1.0840e-06,245,-10,0,-0.8,,-1.0840e-06,3.34825e-07
-1.0832e-06,245,-8,0,0,,-1.0832e-06,3.34825e-07
-1.0824e-06,255,-9,0,0,,-1.0824e-06,3.34825e-07
-1.0816e-06,255,-9,0,0.8,,-1.0816e-06,3.34825e-07
-1.0808e-06,255,-9,0.8,-0.8,,-1.0808e-06,4.91075e-07
-1.0800e-06,255,-9,0,0,,-1.0800e-06,4.91075e-07
-1.0792e-06,245,-10,0,-0.8,,-1.0792e-06,4.91075e-07
-1.0784e-06,255,-9,0,0.8,,-1.0784e-06,4.91075e-07
-1.0776e-06,255,-8,0,0,,-1.0776e-06,4.91075e-07
-1.0768e-06,255,-9,0,0,,-1.0768e-06,4.91075e-07
-1.0760e-06,255,-10,0,0,,-1.0760e-06,4.91075e-07
-1.0752e-06,255,-9,0,0,,-1.0752e-06,4.91075e-07
-1.0744e-06,275,-7,0,-0.8,,-1.0744e-06,4.91075e-07
-1.0736e-06,245,-9,-0.8,0,,-1.0736e-06,3.34825e-07
-1.0728e-06,265,-9,0,-0.8,,-1.0728e-06,3.34825e-07
-1.0720e-06,255,-9,0.8,0.8,,-1.0720e-06,5.692e-07
-1.0712e-06,245,-9,0.8,-0.8,,-1.0712e-06,7.2545e-07
-1.0704e-06,255,-9,0.8,0,,-1.0704e-06,8.817e-07
-1.0696e-06,265,-9,0,0,,-1.0696e-06,8.817e-07
-1.0688e-06,265,-10,0,0.8,,-1.0688e-06,8.817e-07
-1.0680e-06,255,-10,0,0,,-1.0680e-06,8.817e-07
-1.0672e-06,265,-9,0,0,,-1.0672e-06,8.817e-07
-1.0664e-06,255,-8,0.8,-0.8,,-1.0664e-06,1.03795e-06
-1.0656e-06,275,-10,0.8,0,,-1.0656e-06,1.1942e-06
