Model,MDO3054
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,ANALOG
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,8e-07,,,,,Horizontal Scale,8e-07
Horizontal Delay,2.964e-06,,,,,Horizontal Delay,2.964e-06
Sample Interval,8e-10,,,,,Sample Interval,8e-10
Record Length,10000,,,,,Record Length,10000
Gating,0.0% to 100.0%,,,,,Gating,0.0% to 100.0%
Probe Attenuation,500,50,10,100,,Probe Attenuation,1
Vertical Units,V,V,A,A,,Vertical Units,Ws
Vertical Offset,0,0,0,0,,Vertical Offset,0
Vertical Scale,500,25,20,20,,Vertical Scale,0.001
Vertical Position,1.98,0.4,-2,-3.92,,Vertical Position,-1.78835
,,,,,,,
,,,,,,,
,,,,,,,
Label,Vds,Vge,Isw,Il,,Label,Esw
TIME,CH1,CH2,CH3,CH4,,TIME,"MATH<INTG(CH1*CH3)>"
-1.0360e-06,390,-9,0.8,-0.8,,-1.0360e-06,3.8325e-07
-1.0352e-06,390,-9,0.8,0,,-1.0352e-06,5.395e-07
-1.0344e-06,410,-9,0,0,,-1.0344e-06,5.395e-07
-1.0336e-06,390,-8,0,-0.8,,-1.0336e-06,5.395e-07
-1.0328e-06,370,-9,0,0,,-1.0328e-06,5.395e-07
-1.0320e-06,410,-9,0.8,0,,-1.0320e-06,8.52e-07
-1.0312e-06,390,-10,0,0,,-1.0312e-06,8.52e-07
-1.0304e-06,390,-10,0,0,,-1.0304e-06,8.52e-07
-1.0296e-06,390,-9,0,0,,-1.0296e-06,8.52e-07
-1.0288e-06,390,-9,0.8,0,,-1.0288e-06,1.1645e-06
-1.0280e-06,370,-10,0.8,0,,-1.0280e-06,1.32075e-06
-1.0272e-06,390,-9,0,0,,-1.0272e-06,1.32075e-06
-1.0264e-06,410,-10,0.8,0,,-1.0264e-06,1.63325e-06
-1.0256e-06,390,-9,0.8,-0.8,,-1.0256e-06,1.7895e-06
-1.0248e-06,390,-9,0,0,,-1.0248e-06,1.7895e-06
-1.0240e-06,410,-9,-0.8,0,,-1.0240e-06,1.63325e-06
-1.0232e-06,410,-9,0,-0.8,,-1.0232e-06,1.63325e-06
-1.0224e-06,390,-10,0.8,0,,-1.0224e-06,1.7895e-06
-1.0216e-06,410,-9,0,0,,-1.0216e-06,1.7895e-06
-1.0208e-06,410,-9,0.8,-0.8,,-1.0208e-06,2.102e-06
-1.0200e-06,390,-10,0,0,,-1.0200e-06,2.102e-06
-1.0192e-06,410,-9,0,0,,-1.0192e-06,2.102e-06
-1.0184e-06,410,-10,0,-0.8,,-1.0184e-06,2.102e-06
-1.0176e-06,410,-9,0,0,,-1.0176e-06,2.102e-06
-1.0168e-06,410,-9,0,0,,-1.0168e-06,2.102e-06
-1.0160e-06,390,-9,0.8,0,,-1.0160e-06,2.4145e-06
-1.0152e-06,390,-9,0.8,0,,-1.0152e-06,2.57075e-06
-1.0144e-06,410,-10,0,0,,-1.0144e-06,2.57075e-06
-1.0136e-06,390,-9,0.8,0,,-1.0136e-06,2.88325e-06
